,Output_upper,Output_lower,Input,RANK,TOTAL
0,EPISODE,episode,"exalted, preteen, impeded, salient, outcast, drifter, esquire",2863,7
1,CERTAIN,certain,"comcast, entitle, rotting, teeming, annular, impeded, nonstop",577,7
2,INVADER,invader,"invades, nodding, vertigo, arbiter, dragnet, empress, remakes",10025,7
3,PERFORM,perform,"panache, eyeless, retrain, fibrous, orchids, redness, maestro",954,7
5,THEATER,theater,"tenancy, hinting, excised, abscond, tonnage, excused, royally",1540,7
7,CORRECT,correct,"crevice, october, respite, revolve, excites, chalice, theresa",1804,7
8,LITERAL,literal,"layover, invades, tequila, elation, retinal, abiding, lawless",7842,7
9,OUTPOST,outpost,"oratory, unquote, tilting, pelagic, orchids, saddest, teeming",9411,7
10,COMPACT,compact,"copilot, opulent, maestro, padlock, abiding, cupcake, trashed",6286,7
12,ARCHIVE,archive,"acetone, racists, cohabit, heather, impound, voiding, expanse",6608,7
13,FUNERAL,funeral,"fibrous, utopian, nitrate, estrada, riotous, abiding, loathed",2902,7
14,FOREVER,forever,"freemen, opulent, regalia, emerald, vertigo, empress, retrace",2093,7
15,COLLECT,collect,"cracker, outlast, lasagna, looting, excites, carpool, trundle",1322,7
16,DEPOSIT,deposit,"dracula, evicted, paragon, orlando, strayed, infidel, trundle",4736,7
17,CLICKER,clicker,"cheater, lenient, ignoble, comrade, knuckle, expunge, rummage",29271,7
19,MEASURE,measure,"manhood, equated, animism, synapse, untruth, redress, erasing",942,7
22,CLIMATE,climate,"cadaver, leashed, impious, manhood, acutely, twister, emerald",2115,7
23,PASSION,passion,"perched, ascetic, scrappy, spyware, infidel, onshore, nodding",2297,7
24,CENTRAL,central,"chateau, endgame, nascent, thrifty, relapse, alabama, looters",743,7
25,DEPOSIT,deposit,"devalue, evoking, pirated, outlast, spyware, insular, trashed",4736,7
26,TEACHER,teacher,"tenancy, elation, aqueous, chopper, hillary, expunge, robbing",371,7
27,APPLIED,applied,"aquifer, penance, palazzo, lampoon, infidel, earthen, dearest",6546,7
28,PERSONA,persona,"padlock, equinox, roaster, subtext, octopus, nonstop, amiable",7655,7
29,REALTOR,realtor,"robbers, erasing, archery, leakers, thumper, october, respite",19866,7
30,MEASURE,measure,"moaning, expunge, audited, strayed, unbound, roaster, edifice",942,7
31,USELESS,useless,"unquote, skyward, excused, liturgy, estrada, scruffy, sayings",5727,7
32,TRANSIT,transit,"throngs, rigging, audited, nonstop, scruple, impound, taunted",4906,7
33,UNIFIED,unified,"untruth, nonstop, infidel, ferrous, impasse, excites, dearest",7395,7
35,ENDLESS,endless,"eyeless, nonstop, devious, limping, echelon, synapse, stooped",3750,7
36,REVERSE,reverse,"robbers, elation, voiding, elation, retrain, sunburn, evicted",3521,7
37,CONCORD,concord,"cobwebs, octopus, negated, curried, origami, reprise, duopoly",30240,7
38,CHILLED,chilled,"curtail, heinous, invades, leakers, liturgy, expanse, dearest",12264,7
40,CONCERT,concert,"cloaked, orlando, nitrate, cranked, evoking, ramming, truffle",2531,7
42,ETHICAL,ethical,"expunge, torsion, hoarded, impetus, cacique, amorous, lovable",3477,7
43,RESTORE,restore,"reaping, echelon, sayings, taunted, odyssey, restful, enabler",2559,7
44,OPERATE,operate,"origami, pinball, ennoble, regroup, audited, twinkle, esquire",1313,7
45,HERSELF,herself,"heretic, expanse, retrace, sayings, edifice, lamprey, finicky",792,7
46,REFUSED,refused,"rubicon, evoking, favours, upstate, surmise, enabler, devalue",51406,7
48,COLLECT,collect,"carpool, orifice, leaping, loathed, ennoble, cheater, trashed",1322,7
49,ROMANCE,romance,"rubicon, octopus, marquis, affixed, nitrate, chipped, emerald",4047,7
50,CREATOR,creator,"calgary, remnant, erasing, acetone, tidbits, orchids, refocus",5138,7
51,ANCIENT,ancient,"alimony, newness, cougars, ignoble, evicted, negated, twister",1827,7
52,PARTIAL,partial,"panacea, ascetic, robocop, tenancy, impious, alimony, lagging",4588,7
53,CERTAIN,certain,"comcast, erasing, rubicon, trashed, animism, insular, nitrate",577,7
54,PARTIAL,partial,"pitfall, aplenty, retinal, thrills, ignoble, abscond, loathed",4588,7
55,DELETED,deleted,"duopoly, enabler, lenient, erasing, trident, equated, dueling",29897,7
56,DEFENSE,defense,"deposed, envious, finnish, epistle, nitrate, synapse, estrada",657,7
57,CHILLED,chilled,"chateau, heaving, incited, lamprey, lampoon, expunge, devious",12264,7
59,CLICKER,clicker,"couched, livable, impound, comcast, knuckle, emerald, rebecca",29271,7
60,ANCIENT,ancient,"arizona, negated, chipped, invader, equator, nonstop, taunted",1827,7
61,CONCORD,concord,"chalice, october, negated, copilot, odyssey, raisins, drifter",30240,7
62,NEAREST,nearest,"nascent, envious, audited, requiem, eyeless, sayings, trundle",5815,7
63,SCANNER,scanner,"savaged, clinton, annuity, negated, negated, endgame, reissue",8335,7
65,PRESSED,pressed,"peridot, robocop, expunge, skyward, sunsets, estrada, devious",20411,7
66,REALTOR,realtor,"remakes, estrada, awfully, leashed, turkish, outcast, remakes",19866,7
67,CENTRAL,central,"conning, erasing, nomadic, tilting, revolve, affable, luckier",743,7
69,COVERED,covered,"comcast, outcast, voiding, evoking, replete, enclose, drifter",9415,7
71,REALTOR,realtor,"repress, equator, alaskan, looting, tabloid, orifice, robbers",19866,7
72,DISMISS,dismiss,"dracula, invades, skyward, misfits, invader, strayed, somalia",2819,7
74,PERFORM,perform,"padlock, eyesore, repress, fulsome, outcast, remakes, moaning",954,7
76,OPTIMUM,optimum,"origami, potable, tabloid, invader, misread, upstart, misread",11302,7
77,REALTOR,realtor,"rummage, eyeless, abalone, leaping, tabloid, octopus, retread",19866,7
78,PARTIAL,partial,"precept, acreage, rotting, tickled, insular, archery, loathed",4588,7
79,ETHICAL,ethical,"evoking, terrify, hogwash, invader, coining, aimless, leakers",3477,7
80,ROMANCE,romance,"retread, october, moaning, aplenty, nitrate, calgary, erasing",4047,7
81,FUNERAL,funeral,"fluency, upstate, negated, eyesore, remnant, abalone, leakers",2902,7
82,SCRATCH,scratch,"spyware, citadel, rebecca, amiable, turnkey, carpool, heretic",4688,7
84,SHATTER,shatter,"spyware, heretic, alabama, trident, trundle, elation, redwood",5515,7
85,SENATOR,senator,"steamed, excised, nitrate, aquifer, thumper, october, retrain",2786,7
86,DISCORD,discord,"duopoly, ignoble, salient, coexist, orlando, robbers, dweller",15305,7
87,INSTANT,instant,"infidel, nodding, sayings, trample, archaic, nonstop, trident",4493,7
89,AUCTION,auction,"ageless, utopian, citadel, tequila, impound, odyssey, nonstop",4676,7
90,PRINTED,printed,"pigskin, ramming, infidel, nonstop, tenable, eyesore, deposed",7234,7
91,RESTART,restart,"reviled, evading, schwarz, thrills, ascetic, revolve, typhoon",13427,7
92,OUTPOST,outpost,"odyssey, unquote, teeming, policed, odyssey, sermons, twister",9411,7
93,RESPOND,respond,"revolve, edifice, scrappy, panicky, outlast, negated, drizzle",921,7
94,RESTORE,restore,"regency, entitle, shrinks, twister, october, revolve, echelon",2559,7
95,OPTIMUM,optimum,"orlando, paragon, trample, infidel, macrame, upstart, maestro",11302,7
96,CORRECT,correct,"cupcake, october, refuges, redress, expanse, curtail, truffle",1804,7
97,MONARCH,monarch,"milking, oblique, newness, acetone, requiem, couched, heaping",8806,7
99,ANCIENT,ancient,"affront, newness, colgate, invader, envious, nascent, thrifty",1827,7
100,SNAPPED,snapped,"subtext, nascent, airless, pipette, payback, envious, dragnet",46794,7
101,OUTCOME,outcome,"outcast, unbound, tenable, cameron, onetime, marries, evicted",1756,7
102,ARMORED,armored,"aladdin, restful, macrame, overuse, ranting, expanse, devalue",8385,7
104,INSTANT,instant,"impound, newness, strayed, twinkle, annuity, negated, teeming",4493,7
105,STOPPED,stopped,"splurge, typhoon, origami, pitfall, panther, equinox, devalue",20580,7
106,ANOTHER,another,"amorous, nodding, outcast, thumper, heaving, eyesore, rooster",145,7
107,CREATOR,creator,"cranium, remnant, excised, alimony, trample, onetime, reviled",5138,7
109,CLICKER,clicker,"chateau, liberte, incited, carping, knuckle, equator, reissue",29271,7
110,TRIDENT,trident,"torsion, retread, impious, devalue, entitle, nomadic, taunted",38347,7
111,SKILLED,skilled,"surfeit, knuckle, impeded, loaning, lampoon, endgame, drifter",4951,7
112,TRAPPER,trapper,"tabloid, remakes, annular, prelude, peridot, earthen, remakes",16509,7
113,TEACHER,teacher,"tickled, emblems, annuity, cupcake, hostess, emblems, robocop",371,7
114,CLIMATE,climate,"comrade, leakers, invader, maestro, animism, twister, esquire",2115,7
115,USELESS,useless,"upstate, surging, envious, lenient, epistle, saddest, sunburn",5727,7
116,ERRATIC,erratic,"echelon, respite, redwood, acutely, turnkey, infidel, coining",10898,7
117,ERRATIC,erratic,"equator, reviled, royally, animism, tempest, incense, clinton",10898,7
118,SCIENCE,science,"schwarz, chalice, impious, evicted, newness, cranked, evading",890,7
119,SENATOR,senator,"sayings, empress, nodding, abscond, truffle, onshore, rebecca",2786,7
120,REVERSE,reverse,"relapse, esquire, varsity, estrada, retrace, scrappy, equated",3521,7
121,MISSILE,missile,"marilyn, impound, surfeit, somalia, insular, lenient, equinox",2382,7
122,SURFACE,surface,"scruffy, utopian, reissue, fulsome, attuned, copilot, elation",1016,7
123,CLIMATE,climate,"comrade, lovable, impetus, malaise, aquifer, trample, envious",2115,7
124,REFLECT,reflect,"regency, excised, fanfare, lampoon, endgame, cloaked, trinity",1005,7
126,ENCHANT,enchant,"erasing, nitrate, copilot, hapless, attuned, nitrate, tempest",18291,7
127,HIPSTER,hipster,"howling, impasse, panther, subzero, tidbits, equator, reaping",21744,7
128,RETREAT,retreat,"riskier, expanse, trinity, reprise, eyeless, aquifer, trident",4832,7
129,RECLAIM,reclaim,"refuges, empress, cupcake, looters, aqueous, incited, melodic",7576,7
130,PROTECT,protect,"prequel, respite, orifice, torched, evicted, cutback, trinity",749,7
131,TRAPPER,trapper,"throngs, reaping, aimless, payback, pelagic, empress, robbing",16509,7
132,PARTIAL,partial,"pitiful, anarchy, relapse, trooper, impetus, ageless, legions",4588,7
133,SCIENCE,science,"savaged, citadel, incited, expunge, nitrate, calvary, enabler",890,7
134,DISPUTE,dispute,"deposed, impious, sunsets, padlock, upstart, termite, expunge",2721,7
136,NEITHER,neither,"nodding, enclose, impeded, tenured, hapless, evoking, replete",1800,7
137,DISPUTE,dispute,"drizzle, incited, sinners, pitiful, unspent, termite, enclose",2721,7
138,POPULAR,popular,"penance, octopus, pirated, unspent, lampoon, ascetic, retrace",925,7
139,SENATOR,senator,"salient, enclose, newness, ageless, thrills, orifice, riotous",2786,7
140,DISCORD,discord,"drifter, impasse, spyware, cadaver, origami, robbing, devious",15305,7
141,TOASTER,toaster,"truffle, odyssey, agonize, shrinks, tequila, expunge, refuges",15535,7
144,ATTRACT,attract,"audited, tabloid, tempest, reentry, abscond, cheater, trident",1877,7
145,NEAREST,nearest,"nascent, excised, acetone, regroup, edifice, saddest, tenancy",5815,7
146,TEACHER,teacher,"trinity, emblems, audited, cowgirl, hideous, equated, repress",371,7
147,RESPECT,respect,"racists, exalted, salting, panicky, excused, cadmium, trident",1559,7
148,THEATER,theater,"trinity, hideout, estrada, affable, thumper, ennoble, remnant",1540,7
150,ERRATIC,erratic,"echelon, racists, regency, annuity, trample, ignoble, clotted",10898,7
151,DELETED,deleted,"duopoly, empress, livable, endgame, trashed, excused, duopoly",29897,7
152,DISCARD,discard,"drizzle, invader, sunburn, comcast, aladdin, redwood, dragnet",5476,7
153,OUTPOST,outpost,"onshore, utopian, tabling, penance, orifice, shrinks, termite",9411,7
154,CARRIER,carrier,"coining, appease, reddish, repress, invader, enclose, robocop",3292,7
155,LITERAL,literal,"lamprey, insular, turnkey, esquire, realist, acetone, luckier",7842,7
156,TEACHER,teacher,"trinity, equated, affable, coining, hooking, exalted, retrace",371,7
157,ACTRESS,actress,"attuned, curbing, teeming, rigging, epistle, scrappy, sunsets",3257,7
158,PATTERN,pattern,"policed, ageless, termite, tickled, eyesore, robocop, nomadic",1018,7
159,HERSELF,herself,"heaping, expunge, realist, subtext, enabler, liquors, fulsome",792,7
161,PRINTED,printed,"parrots, rotting, infidel, nascent, trudeau, ennoble, drifter",7234,7
162,MONSTER,monster,"manatee, outcast, nodding, surfeit, turkeys, enclose, rebecca",3591,7
163,RECLAIM,reclaim,"reissue, equator, coldest, lockout, agonize, incited, maestro",7576,7
166,PROTECT,protect,"palaces, requiem, oratory, thrifty, endgame, carping, tribune",749,7
167,PROCEED,proceed,"prepped, regency, october, carping, endgame, endgame, deposed",2713,7
168,ARCHIVE,archive,"agonize, reissue, calgary, hoarded, incited, varsity, edifice",6608,7
169,UNIFORM,uniform,"unbound, nodding, impetus, foxhole, opulent, ramming, moaning",3062,7
170,OPTIMAL,optimal,"onshore, paladin, trinity, incense, misfits, amnesia, latinos",7110,7
171,DEPOSIT,deposit,"drifter, evoking, petting, orchard, sunburn, impetus, trinity",4736,7
172,ETHICAL,ethical,"esquire, tabling, hogwash, incited, cowards, aquifer, lovable",3477,7
173,CENTRAL,central,"cranked, ennoble, newness, thumper, regalia, annular, lenient",743,7
174,PASSION,passion,"parrots, acutely, schwarz, strayed, insular, outcast, nonstop",2297,7
175,COMPACT,compact,"cobwebs, octopus, marries, palazzo, archery, crevice, termite",6286,7
176,FASTEST,fastest,"fulsome, atheism, samurai, torched, expunge, sermons, trinity",6859,7
177,COLLECT,collect,"colgate, orchard, lagging, liberte, envious, cougars, trudeau",1322,7
178,DRILLED,drilled,"dracula, rotting, ignoble, leashed, looting, echelon, dweller",49895,7
179,FORMULA,formula,"foxhole, oblique, replete, marquis, unspent, lasagna, acetone",3362,7
180,SELFISH,selfish,"subzero, echelon, leaping, fixable, impound, skyward, hogwash",7507,7
182,REDRESS,redress,"robbing, evading, dweller, regroup, erasing, salting, surging",19979,7
184,TEACHER,teacher,"tidbits, evading, affront, curried, hemlock, eyesore, repress",371,7
185,OUTSIDE,outside,"orchids, utopian, taunted, savaged, ignoble, dracula, epistle",810,7
186,ETHICAL,ethical,"excused, tenable, heaping, impeded, capella, anagram, legible",3477,7
187,CERTAIN,certain,"couched, excites, reviled, trident, affixed, impeded, nonstop",577,7
188,ANCIENT,ancient,"aplenty, newness, curtail, incited, excites, nodding, thrills",1827,7
189,INSTANT,instant,"incense, nascent, subzero, teeming, animism, nodding, thumper",4493,7
190,RESTORE,restore,"robbers, extrude, subvert, tilting, outback, rectify, entitle",2559,7
191,FINANCE,finance,"finnish, impious, nitrate, aplenty, nomadic, cloaked, equator",2825,7
192,CENTRAL,central,"chevron, emblems, nomadic, trudeau, royally, amiable, liberte",743,7
193,RESTART,restart,"rigging, elation, strayed, tilting, arbiter, reviled, trinity",13427,7
194,REDRESS,redress,"retread, equated, drifter, ranting, equinox, salient, samurai",19979,7
195,LEFTIST,leftist,"lexicon, enclose, freemen, twinkle, impasse, shrinks, torsion",9293,7
196,PARTIAL,partial,"petting, acetone, reddish, trident, incited, affixed, leftism",4588,7
197,SNAPPED,snapped,"samurai, nomadic, appease, pipette, pirated, empress, dearest",46794,7
199,ROUTINE,routine,"robocop, oratory, upstate, tilting, impeded, nonstop, edifice",2601,7
200,TRAPPED,trapped,"tonnage, robocop, airless, penance, prepped, expunge, drifter",16941,7
201,DELETED,deleted,"dweller, evading, lamprey, excised, thrills, equated, dragnet",29897,7
202,PREVENT,prevent,"perched, retinal, evoking, voiding, eyesore, nodding, teeming",1084,7
203,TRIDENT,trident,"trundle, roaster, incited, drizzle, evicted, nitrate, teeming",38347,7
204,SCRATCH,scratch,"scruffy, cutback, rigging, attuned, tonnage, cranium, hemlock",4688,7
205,MATCHUP,matchup,"monsoon, airhead, truffle, chipped, harpoon, untruth, pelagic",12013,7
206,OPTIMUM,optimum,"outback, prepped, typhoon, impound, milking, ugliest, malcolm",11302,7
207,CHEATER,cheater,"coldest, hillary, envious, annular, tidbits, emerald, royally",19010,7
208,ETHICAL,ethical,"eyeless, tribune, heaving, impious, couched, anarchy, lunging",3477,7
209,RECOVER,recover,"roaster, evading, copilot, overuse, varsity, enclose, robbing",2144,7
212,PROCEED,proceed,"pipette, restful, orchids, copious, ennoble, enclose, drizzle",2713,7
213,TRAPPED,trapped,"torched, repress, anarchy, perched, paladin, erasing, dweller",16941,7
214,CHEATER,cheater,"couched, heroism, expanse, ageless, tickled, evading, replete",19010,7
215,PARTIAL,partial,"policed, abigail, raisins, twister, invades, abiding, lovable",4588,7
216,PREVENT,prevent,"parquet, rotting, enclose, vertigo, epistle, nodding, tenable",1084,7
217,SPECIES,species,"salient, panicky, eyeless, cracker, impound, enabler, scruffy",1142,7
218,RECLAIM,reclaim,"rooster, emerald, comical, lexicon, annular, impasse, megaton",7576,7
219,RESTORE,restore,"rectify, exalted, scrappy, thumper, opulent, repress, exalted",2559,7
220,TEACHER,teacher,"teeming, echelon, abscond, comical, hideous, envious, remakes",371,7
221,CHEATED,cheated,"comcast, herding, evading, amnesia, torched, emerald, deposed",23925,7
222,ANOTHER,another,"avenger, newness, oratory, tempest, howling, esquire, replete",145,7
223,OPTIMAL,optimal,"onetime, panache, tabling, insular, maestro, ageless, leashed",7110,7
224,FICTION,fiction,"fatuous, impetus, calgary, thrifty, impound, octopus, nonstop",2779,7
225,TRIDENT,trident,"turkish, relapse, insular, drifter, evoking, nodding, throngs",38347,7
226,OPTIMUM,optimum,"opulent, purging, torched, insular, matador, unquote, megaton",11302,7
227,ATTRACT,attract,"asunder, taunted, tonnage, rooster, affront, crumble, tequila",1877,7
228,MODULAR,modular,"manhunt, outlast, devious, unquote, leaping, aquifer, retinal",15117,7
229,MONSTER,monster,"moaning, origami, nascent, saddest, taunted, eyesore, replete",3591,7
230,SURFACE,surface,"steamed, utopian, rooster, freeman, amorous, carpool, enabler",1016,7
231,ALTERED,altered,"audited, legible, trooper, erasing, riveted, extrude, dearest",10161,7
232,CHEATED,cheated,"crevice, howling, esquire, agonize, trundle, equated, deposed",23925,7
233,OPERATE,operate,"oratory, paladin, evicted, robbing, annuity, trundle, endgame",1313,7
234,PERFORM,perform,"parades, enabler, roaster, freemen, orchard, repress, moaning",954,7
235,UNCLEAR,unclear,"unquote, newness, cracker, leaping, entitle, arbiter, roaster",5340,7
236,MEDICAL,medical,"manmade, equator, dueling, impeded, comical, awfully, leakers",646,7
237,PASSION,passion,"precept, animism, subzero, subvert, invades, orchids, nitrate",2297,7
238,RADICAL,radical,"reissue, aquifer, drifter, insular, coining, aladdin, looters",2946,7
240,CENTRAL,central,"cacique, enclose, newness, trundle, relapse, arbiter, lunging",743,7
241,MINIMUM,minimum,"marries, infidel, negated, invader, moaning, untruth, mislead",3660,7
243,ARMORED,armored,"aimless, respite, moaning, outcast, regalia, equinox, drifter",8385,7
247,ARRIVAL,arrival,"annuity, respite, ramming, invader, voiding, alaskan, legible",3215,7
248,TRAINER,trainer,"teeming, raisins, aqueous, insular, newness, excused, roaster",4498,7
249,RECLAIM,reclaim,"reprise, enabler, chevron, loathed, affixed, insular, manhole",7576,7
250,AUCTION,auction,"abiding, upstate, couched, tonnage, ignoble, orchard, newness",4676,7
251,NONSTOP,nonstop,"negated, outcast, nonstop, surfeit, trident, oblique, parrots",13675,7
252,REVIVAL,revival,"regroup, epistle, vertigo, impasse, varsity, anagram, liturgy",5477,7
253,HERSELF,herself,"hapless, emerald, retrain, stooped, excites, leftism, freemen",792,7
254,DEPOSIT,deposit,"devalue, expanse, palazzo, opulent, sermons, impetus, trident",4736,7
255,PALETTE,palette,"prelude, amiable, lasagna, echelon, tabloid, termite, evading",7506,7
257,UNCOVER,uncover,"unspent, nitrate, crevice, outback, varsity, evoking, reaping",4472,7
258,NUMERIC,numeric,"newness, unquote, maestro, endgame, refuges, impeded, chateau",23328,7
259,COLLECT,collect,"crybaby, octopus, looting, layover, entitle, capsize, tabloid",1322,7
260,TOPICAL,topical,"trashed, origami, paragon, ignoble, cracker, aplenty, liberte",11875,7
261,OUTCOME,outcome,"outback, unbound, teeming, cowboys, orchard, marquee, emblems",1756,7
262,REFRESH,refresh,"replete, edifice, fibrous, retread, eyeless, sunburn, hoarded",12722,7
263,ARMORED,armored,"avenger, reviled, malaise, october, rebecca, enclose, dracula",8385,7
264,ROUTINE,routine,"ramming, overuse, unquote, twinkle, impound, nascent, endgame",2601,7
266,CHILLED,chilled,"cranked, heaping, ignoble, lexicon, leaping, evicted, deposed",12264,7
268,MINIMAL,minimal,"maestro, ignoble, nonstop, impious, moaning, atheism, lovable",4351,7
270,SECONDS,seconds,"scruple, epistle, couched, orifice, newness, dueling, stooped",23546,7
271,DRILLED,drilled,"dueling, remnant, incense, lovable, livable, elation, drifter",49895,7
273,COMPASS,compass,"carping, onetime, minivan, prequel, awfully, synapse, strayed",8103,7
274,CONTEST,contest,"coexist, october, nascent, tabling, erasing, subtext, tabling",3081,7
275,NEAREST,nearest,"nodding, extrude, airless, ramming, emblems, sinners, tequila",5815,7
276,ENDLESS,endless,"exalted, nodding, dweller, looting, eyeless, salient, sermons",3750,7
278,MEDICAL,medical,"malaise, equinox, drifter, invader, carpool, airhead, leakers",646,7
280,INSTANT,instant,"infidel, nascent, scruffy, trudeau, aqueous, newness, tabloid",4493,7
281,SNAPPED,snapped,"somalia, nitrate, annuity, potable, peridot, equator, deposed",46794,7
282,RESTART,restart,"reaping, emerald, savaged, taunted, appease, retinal, trident",13427,7
283,LITERAL,literal,"leakers, invader, theresa, emerald, regalia, alabama, loathed",7842,7
284,REALTOR,realtor,"roaster, earthen, archery, looting, thrifty, orlando, retinal",19866,7
285,MONSTER,monster,"misfire, outcast, nodding, skyward, trident, enclose, reentry",3591,7
287,SKILLED,skilled,"stooped, knuckle, impound, lovable, limping, earthen, dearest",4951,7
288,UNCLEAR,unclear,"unbound, newness, cranium, likable, emerald, abalone, reissue",5340,7
289,COLLECT,collect,"chevron, oblique, loaning, lexicon, endgame, cutback, trample",1322,7
290,REVERSE,reverse,"robbing, elation, varsity, expanse, reentry, scruple, extrude",3521,7
291,RESOLVE,resolve,"reddish, echelon, somalia, outlast, liturgy, varsity, extrude",2256,7
292,COMPACT,compact,"coldest, onshore, manatee, prepped, animism, coining, taunted",6286,7
293,NEITHER,neither,"negated, echelon, ignoble, tabling, harpoon, equated, replete",1800,7
294,USELESS,useless,"ugliest, saddest, evoking, lockout, elation, subvert, subtext",5727,7
295,TRAPPER,trapper,"tabloid, rummage, agonize, panache, purging, enclose, revolve",16509,7
296,PERSONA,persona,"panache, edifice, rooster, skyward, orifice, negated, aladdin",7655,7
298,RESTART,restart,"retrace, enclose, samurai, tonnage, aqueous, rummage, taunted",13427,7
299,CONSOLE,console,"crevice, october, nodding, surmise, orchard, lampoon, epistle",9354,7
300,RESTORE,restore,"repress, ennoble, savaged, teeming, overuse, reprise, eyeless",2559,7
301,PALETTE,palette,"potable, aimless, lampoon, empress, truffle, trashed, earthen",7506,7
302,COLLECT,collect,"crumble, outlast, leakers, loathed, equinox, cadmium, trident",1322,7
303,CHEATED,cheated,"cadmium, harpoon, erasing, annular, tempest, elation, dracula",23925,7
305,MEDICAL,medical,"maestro, excused, devalue, incense, cowgirl, acreage, layover",646,7
306,EMOTION,emotion,"elation, malaise, onshore, trudeau, impasse, october, negated",2129,7
307,ATTRACT,attract,"abalone, tempest, tidbits, roaster, atheism, cobwebs, thrills",1877,7
308,MINIMAL,minimal,"midwife, infidel, nascent, impetus, mermaid, affixed, limping",4351,7
309,COVERED,covered,"cadmium, overuse, varsity, erasing, retrain, exalted, dracula",9415,7
311,DELIVER,deliver,"deposed, expunge, looting, incited, varsity, expanse, royally",1292,7
312,ETHICAL,ethical,"enclose, trooper, hemlock, ignoble, coining, aqueous, lifters",3477,7
313,CLIMATE,climate,"crooked, latinos, incited, misfire, airless, typhoon, erasing",2115,7
315,STATION,station,"scruffy, theresa, airless, termite, incense, outlast, nomadic",842,7
316,REVERSE,reverse,"retread, extrude, vertigo, erasing, robocop, samurai, esquire",3521,7
317,DESSERT,dessert,"duopoly, esquire, somalia, samurai, equinox, reissue, trinity",4306,7
318,ANOTHER,another,"arbiter, nitrate, orchids, turnkey, hapless, emerald, regalia",145,7
320,CONCERT,concert,"crumble, opulent, nonstop, crumble, eyeless, reprise, tenancy",2531,7
321,LEATHER,leather,"layover, enclose, airhead, theresa, hangout, expunge, rosebud",2960,7
322,DISTANT,distant,"devious, insular, synapse, teeming, ascetic, nascent, tilting",2646,7
323,NEAREST,nearest,"negated, earthen, airhead, robocop, ennoble, sayings, trample",5815,7
324,REDRESS,redress,"rigging, elation, devious, rosebud, empress, somalia, subvert",19979,7
325,CERTAIN,certain,"chateau, earthen, reaping, trundle, audited, incited, nodding",577,7
326,CREATOR,creator,"curtail, reentry, edifice, airless, thumper, origami, retrain",5138,7
327,PALETTE,palette,"pirated, asunder, livable, eyeless, tenancy, tilting, elation",7506,7
328,DRESSED,dressed,"drizzle, regalia, eyeless, surging, sinners, equator, dweller",23711,7
331,OFFENSE,offense,"october, fanfare, ferrous, entitle, nodding, surging, evoking",2845,7
333,RESOLVE,resolve,"rebecca, expunge, surmise, outlast, legions, vertigo, emerald",2256,7
334,FOREVER,forever,"faceted, outlast, reviled, empress, varsity, equated, ramming",2093,7
336,OPERATE,operate,"oratory, pitiful, epistle, repress, airless, trundle, excised",1313,7
337,CLASSIC,classic,"chateau, livable, affable, steamed, shrinks, ignoble, cracker",2632,7
339,OUTPOST,outpost,"onetime, upstate, torched, pinning, orifice, steamed, throngs",9411,7
340,TOPICAL,topical,"terrify, odyssey, panache, impeded, coining, avenger, leaping",11875,7
342,DISMISS,dismiss,"drizzle, invader, stooped, moaning, impeded, salting, synapse",2819,7
343,APPLIED,applied,"airhead, pitiful, panther, lunging, incited, emblems, drifter",6546,7
